contact_id,work_phone,area_code,Phone_type
1,575-780-6421,575,Work
2,526-691-3663,526,Work
3,470-347-7202,470,Work
5,672-643-5210,672,Work
6,935-221-4565,935,Work
8,420-902-8960,420,Work
9,536-596-8574,536,Work
10,405-746-6553,405,Work
12,974-398-8066,974,Work
15,944-146-6149,944,Work
16,100-718-3343,100,Work
18,725-135-7813,725,Work
19,373-829-6128,373,Work
20,205-867-7790,205,Work
21,136-209-9292,136,Work
22,732-735-8158,732,Work
24,364-839-7318,364,Work
25,754-815-2133,754,Work
27,205-324-5139,205,Work
28,742-339-9060,742,Work
29,570-895-9983,570,Work
31,612-222-9943,612,Work
33,555-996-6608,555,Work
34,955-258-7776,955,Work
36,844-442-7505,844,Work
37,222-834-2561,222,Work
38,277-275-7948,277,Work
39,337-587-0981,337,Work
40,147-887-5649,147,Work
43,346-177-2480,346,Work
44,504-702-5753,504,Work
45,335-829-3422,335,Work
46,310-276-0552,310,Work
47,619-706-2111,619,Work
48,767-102-8784,767,Work
50,395-288-3413,395,Work
51,411-205-9343,411,Work
52,709-745-0219,709,Work
53,575-701-3295,575,Work
55,749-296-8636,749,Work
56,920-329-4108,920,Work
58,755-534-1340,755,Work
59,775-391-2049,775,Work
60,992-279-8238,992,Work
61,685-481-0480,685,Work
64,834-909-1478,834,Work
66,712-204-2142,712,Work
67,569-828-2353,569,Work
68,365-927-9690,365,Work
69,284-234-0042,284,Work
73,689-233-6416,689,Work
74,442-144-0201,442,Work
77,535-238-8834,535,Work
78,146-778-2020,146,Work
79,463-183-4657,463,Work
80,741-274-5179,741,Work
81,928-679-8594,928,Work
84,812-390-3319,812,Work
85,185-191-2451,185,Work
86,996-985-1004,996,Work
87,972-245-7747,972,Work
88,712-270-4972,712,Work
92,951-307-6360,951,Work
93,275-459-6375,275,Work
94,845-667-9320,845,Work
95,610-394-0372,610,Work
97,374-927-8236,374,Work
98,497-161-2807,497,Work
100,446-971-3511,446,Work
101,560-427-8364,560,Work
103,644-697-0806,644,Work
105,903-723-8230,903,Work
106,575-831-8442,575,Work
107,171-586-9880,171,Work
108,355-563-4878,355,Work
109,665-431-3941,665,Work
110,135-820-4074,135,Work
111,384-566-9537,384,Work
113,126-184-5686,126,Work
114,319-215-9511,319,Work
115,425-649-6990,425,Work
119,456-574-3485,456,Work
122,175-896-9475,175,Work
123,660-861-7324,660,Work
125,885-614-2560,885,Work
126,601-464-5787,601,Work
128,533-739-6596,533,Work
129,470-766-4449,470,Work
130,878-648-8002,878,Work
131,320-144-5636,320,Work
132,440-549-6823,440,Work
133,959-118-6515,959,Work
135,851-810-7191,851,Work
137,802-173-4188,802,Work
138,311-559-9990,311,Work
139,596-335-4027,596,Work
140,998-102-4319,998,Work
142,523-284-1173,523,Work
143,682-788-0921,682,Work
145,940-916-1708,940,Work
146,599-479-7143,599,Work
147,194-514-6250,194,Work
148,605-462-1975,605,Work
149,800-218-9724,800,Work
151,130-575-1451,130,Work
152,780-729-0513,780,Work
153,270-936-1024,270,Work
154,212-357-5802,212,Work
155,363-591-9833,363,Work
156,308-853-5308,308,Work
157,505-531-2951,505,Work
158,583-506-0181,583,Work
160,272-475-7047,272,Work
162,871-525-5326,871,Work
163,906-287-3813,906,Work
164,519-539-6640,519,Work
166,299-392-3863,299,Work
