contact_id,home_phone,area_code,Phone_type
2,441-557-2835,441,Home
3,998-239-4082,998,Home
5,317-756-0975,317,Home
10,449-971-7759,449,Home
11,790-832-4539,790,Home
12,812-671-2569,812,Home
14,454-730-8259,454,Home
16,629-438-4169,629,Home
17,804-209-6009,804,Home
22,130-493-8381,130,Home
23,234-782-3406,234,Home
24,387-995-2640,387,Home
29,388-488-7596,388,Home
30,744-544-2543,744,Home
32,742-302-1759,742,Home
33,154-670-0891,154,Home
35,656-894-9957,656,Home
38,581-510-2303,581,Home
39,280-345-6777,280,Home
40,549-882-4758,549,Home
41,955-332-1578,955,Home
43,935-397-8398,935,Home
46,438-558-8607,438,Home
47,551-539-6647,551,Home
49,453-222-0717,453,Home
50,848-699-3800,848,Home
52,567-135-0102,567,Home
53,462-845-3036,462,Home
55,378-682-1902,378,Home
56,765-701-9463,765,Home
57,324-319-1885,324,Home
63,188-450-8080,188,Home
65,758-101-8619,758,Home
66,647-325-5036,647,Home
69,721-974-7317,721,Home
70,359-310-9403,359,Home
77,258-960-2550,258,Home
78,738-434-8751,738,Home
82,761-508-2579,761,Home
88,760-702-3529,760,Home
89,454-192-9694,454,Home
93,800-490-0502,800,Home
95,804-522-4722,804,Home
96,514-186-3739,514,Home
100,870-885-1418,870,Home
103,369-238-2038,369,Home
108,166-513-3272,166,Home
109,725-966-9431,725,Home
110,768-841-9661,768,Home
114,443-590-1681,443,Home
117,728-382-1377,728,Home
119,862-580-2697,862,Home
122,222-357-9889,222,Home
123,841-389-7758,841,Home
124,527-999-5145,527,Home
125,971-724-5844,971,Home
126,720-767-5395,720,Home
128,204-136-9355,204,Home
129,395-815-2605,395,Home
131,950-735-9534,950,Home
133,603-378-9604,603,Home
135,195-591-2761,195,Home
139,657-665-0989,657,Home
140,594-100-8807,594,Home
141,936-470-8740,936,Home
142,224-628-0332,224,Home
146,596-594-6343,596,Home
148,974-202-6083,974,Home
149,620-317-5161,620,Home
150,361-857-2319,361,Home
151,474-264-4928,474,Home
152,821-859-4219,821,Home
153,319-230-9127,319,Home
156,539-870-5632,539,Home
157,910-727-3016,910,Home
158,600-258-1532,600,Home
160,963-529-5711,963,Home
161,994-199-8435,994,Home
164,702-101-1841,702,Home
165,505-562-5213,505,Home
172,347-874-4660,347,Home
174,793-559-9408,793,Home
175,120-469-6580,120,Home
177,450-962-3731,450,Home
178,918-917-1949,918,Home
179,118-992-2961,118,Home
181,264-266-4036,264,Home
183,448-875-4499,448,Home
185,409-492-7295,409,Home
188,156-986-1385,156,Home
190,846-697-1049,846,Home
191,616-408-2685,616,Home
192,593-872-0141,593,Home
193,719-433-1940,719,Home
195,435-497-6117,435,Home
196,638-228-7039,638,Home
198,541-972-9215,541,Home
199,928-585-8252,928,Home
200,384-681-2575,384,Home
201,915-909-0320,915,Home
202,660-223-6277,660,Home
203,628-961-4631,628,Home
204,547-604-7582,547,Home
205,422-166-8360,422,Home
206,854-288-5241,854,Home
208,521-390-3859,521,Home
209,217-357-8603,217,Home
210,305-505-9304,305,Home
211,131-554-7673,131,Home
213,771-537-3767,771,Home
216,828-378-2541,828,Home
219,570-326-2552,570,Home
220,193-474-2547,193,Home
225,919-608-1138,919,Home
226,801-150-6562,801,Home
229,653-718-0691,653,Home
230,954-591-2566,954,Home
232,209-856-5568,209,Home
233,498-916-0531,498,Home
234,952-702-7639,952,Home
235,873-763-9477,873,Home
239,360-261-3677,360,Home
242,216-219-8508,216,Home
245,643-581-4018,643,Home
246,898-311-4913,898,Home
248,352-617-0424,352,Home
249,738-575-1532,738,Home
252,216-128-4604,216,Home
253,393-933-6921,393,Home
254,619-985-1726,619,Home
256,563-898-4407,563,Home
258,593-520-4976,593,Home
260,798-645-1435,798,Home
262,212-363-6520,212,Home
264,135-793-7070,135,Home
266,607-945-9621,607,Home
267,439-612-2673,439,Home
269,226-768-0943,226,Home
270,731-819-7090,731,Home
271,260-252-9568,260,Home
273,768-515-3346,768,Home
278,102-472-6185,102,Home
280,902-975-0670,902,Home
281,144-795-1499,144,Home
282,443-211-9294,443,Home
284,255-751-4399,255,Home
285,873-123-1637,873,Home
289,524-230-9991,524,Home
290,150-580-3358,150,Home
291,614-466-2418,614,Home
294,722-851-7661,722,Home
303,590-859-9229,590,Home
304,708-700-4378,708,Home
305,484-275-6972,484,Home
308,416-967-8297,416,Home
310,120-867-6346,120,Home
311,917-730-3401,917,Home
312,402-771-7293,402,Home
314,132-352-4939,132,Home
316,998-366-3986,998,Home
319,795-348-8410,795,Home
320,517-484-8461,517,Home
322,106-320-8656,106,Home
323,175-139-8966,175,Home
324,114-109-2699,114,Home
325,416-527-9411,416,Home
327,701-951-6627,701,Home
328,113-833-7850,113,Home
330,115-407-9844,115,Home
332,225-868-9797,225,Home
334,186-407-9924,186,Home
336,337-994-7403,337,Home
337,740-161-2202,740,Home
339,142-284-8389,142,Home
341,448-993-3474,448,Home
342,857-707-7664,857,Home
344,883-242-4398,883,Home
345,919-323-1257,919,Home
346,538-735-6171,538,Home
347,647-127-4086,647,Home
348,346-244-6524,346,Home
349,934-421-9357,934,Home
350,405-347-9722,405,Home
358,209-535-2702,209,Home
359,266-263-9469,266,Home
360,730-107-2205,730,Home
364,582-749-6687,582,Home
366,666-756-7464,666,Home
370,789-400-2515,789,Home
373,725-649-0235,725,Home
374,668-288-6001,668,Home
375,596-847-5055,596,Home
377,707-357-7631,707,Home
379,815-424-8560,815,Home
384,728-482-0392,728,Home
385,204-119-8973,204,Home
387,974-355-1991,974,Home
388,792-798-2012,792,Home
389,265-831-5801,265,Home
390,667-288-6212,667,Home
391,594-957-5867,594,Home
393,440-289-8057,440,Home
397,500-159-1166,500,Home
399,915-417-5581,915,Home
408,648-571-4202,648,Home
410,286-187-4570,286,Home
413,942-462-9310,942,Home
424,139-715-3022,139,Home
426,449-253-1352,449,Home
427,277-894-6191,277,Home
429,212-241-1047,212,Home
430,611-586-0987,611,Home
431,730-827-7962,730,Home
435,199-584-8576,199,Home
439,931-165-9882,931,Home
440,700-469-3191,700,Home
446,164-838-5185,164,Home
447,637-306-2368,637,Home
449,698-666-5675,698,Home
452,416-513-9185,416,Home
455,429-183-1898,429,Home
456,913-290-1029,913,Home
457,195-834-7955,195,Home
463,483-761-7372,483,Home
465,567-770-1111,567,Home
467,214-352-6381,214,Home
468,534-154-8618,534,Home
469,667-447-8000,667,Home
470,170-938-9058,170,Home
472,164-380-7212,164,Home
475,937-135-2004,937,Home
476,706-286-6061,706,Home
477,863-503-0563,863,Home
479,472-232-5210,472,Home
482,121-934-9403,121,Home
485,685-409-9085,685,Home
486,868-426-8082,868,Home
487,509-521-4735,509,Home
488,166-631-6630,166,Home
489,977-663-9183,977,Home
491,128-320-9244,128,Home
492,648-244-7436,648,Home
496,138-648-7465,138,Home
499,813-512-1295,813,Home
500,470-797-9418,470,Home
501,397-796-6693,397,Home
505,499-508-8416,499,Home
506,986-373-5019,986,Home
508,707-106-4739,707,Home
509,657-510-8911,657,Home
510,202-783-0750,202,Home
516,454-731-4647,454,Home
517,757-797-0053,757,Home
518,288-615-0105,288,Home
519,256-874-6101,256,Home
522,446-878-4707,446,Home
523,709-162-0392,709,Home
525,934-357-9610,934,Home
526,831-399-6098,831,Home
530,538-703-0206,538,Home
531,465-668-2750,465,Home
532,438-242-3353,438,Home
534,124-723-9834,124,Home
537,722-931-7082,722,Home
538,696-784-7980,696,Home
539,880-723-9347,880,Home
541,762-657-3787,762,Home
542,313-526-5569,313,Home
543,215-128-1209,215,Home
545,730-706-4982,730,Home
548,154-687-4059,154,Home
549,553-521-3453,553,Home
552,706-458-4328,706,Home
553,558-206-7434,558,Home
554,571-222-3859,571,Home
555,462-374-8922,462,Home
556,794-481-3272,794,Home
558,338-971-3228,338,Home
560,910-813-6415,910,Home
561,113-984-8287,113,Home
562,202-953-8690,202,Home
563,993-579-8257,993,Home
570,510-509-1271,510,Home
572,133-648-4677,133,Home
573,166-250-7186,166,Home
576,263-210-4517,263,Home
577,612-204-4153,612,Home
578,264-549-2023,264,Home
579,543-388-7040,543,Home
580,841-238-2109,841,Home
581,537-736-7621,537,Home
582,623-677-2825,623,Home
584,892-538-2055,892,Home
588,340-852-3223,340,Home
593,421-831-3543,421,Home
595,413-531-8434,413,Home
597,617-481-3465,617,Home
598,170-556-7855,170,Home
599,600-451-2532,600,Home
601,421-197-2033,421,Home
604,670-655-9341,670,Home
606,737-958-9439,737,Home
609,164-223-0877,164,Home
614,922-240-3086,922,Home
616,618-796-9938,618,Home
619,249-709-9202,249,Home
620,661-692-3911,661,Home
621,853-546-9822,853,Home
625,611-461-4174,611,Home
627,504-352-0892,504,Home
629,354-471-8412,354,Home
630,294-658-2004,294,Home
637,848-962-9031,848,Home
638,893-613-4964,893,Home
639,988-582-1746,988,Home
645,487-123-8854,487,Home
646,615-152-0368,615,Home
647,922-600-3983,922,Home
649,206-963-7826,206,Home
655,472-957-6298,472,Home
659,231-279-4678,231,Home
661,995-487-6226,995,Home
663,233-168-1541,233,Home
666,604-829-8721,604,Home
669,429-351-3856,429,Home
674,506-215-3265,506,Home
675,425-984-6018,425,Home
676,576-848-4382,576,Home
677,821-923-5298,821,Home
679,205-861-9844,205,Home
682,196-291-3176,196,Home
683,685-128-6858,685,Home
684,304-705-4385,304,Home
686,455-243-8795,455,Home
688,839-383-0122,839,Home
689,415-325-9256,415,Home
690,374-172-8318,374,Home
694,731-234-9537,731,Home
700,464-824-7570,464,Home
703,533-430-2247,533,Home
704,206-411-4699,206,Home
705,488-999-9988,488,Home
706,908-793-1053,908,Home
709,714-151-5616,714,Home
710,313-874-1285,313,Home
712,272-133-6169,272,Home
713,743-462-6487,743,Home
716,415-399-0433,415,Home
717,565-700-1642,565,Home
719,359-471-4507,359,Home
720,672-355-8595,672,Home
